t,vLoca,vLocb,vLocc
0.0109139997512102,576921,-654954.0625,63222.84765625
0.0109149999916553,577069.125,-654909.4375,63044.90625
0.0109160002321005,577203.5625,-654862.9375,62878.7578125
0.010916999541223,577323.8125,-654814.3125,62724.2421875
0.0109179997816682,577429.6875,-654763.375,62581.23046875
0.0109190000221133,577521.0625,-654710.1875,62449.58984375
0.0109200002625585,577598.1875,-654655.0625,62329.16015625
0.010920999571681,577661.4375,-654598.375,62219.69921875
0.0109219998121262,577711.6875,-654540.875,62120.8671875
0.0109230000525713,577749.875,-654483.1875,62032.1953125
0.0109240002930164,577777.1875,-654426.1875,61953.09765625
0.010924999602139,577795.125,-654370.875,61882.8671875
0.0109259998425841,577805.375,-654318.0625,61820.70703125
0.0109270000830293,577809.5625,-654268.875,61765.77734375
0.0109280003234744,577809.5,-654224.3125,61717.1953125
0.010928999632597,577806.9375,-654185.1875,61674.1171875
0.0109299998730421,577803.625,-654152.5625,61635.7421875
0.0109310001134872,577801,-654127.1875,61601.34375
0.0109320003539324,577800.4375,-654109.75,61570.296875
0.0109329996630549,577803,-654100.8125,61542.078125
0.0109339999035001,577809.625,-654100.6875,61516.24609375
0.0109350001439452,577820.75,-654109.4375,61492.4609375
0.0109360003843904,577836.75,-654127.0625,61470.43359375
0.0109369996935129,577857.5625,-654153.125,61449.921875
0.0109379999339581,577882.9375,-654187,61430.70703125
0.0109390001744032,577912.3125,-654227.8125,61412.55859375
0.0109400004148483,577945.0625,-654274.5,61395.22265625
0.0109409997239709,577980.25,-654325.75,61378.41796875
0.010941999964416,578016.875,-654380.0625,61361.796875
0.0109430002048612,578053.875,-654435.9375,61344.96875
0.0109440004453063,578090.125,-654491.6875,61327.46875
0.0109449997544289,578124.625,-654545.625,61308.79296875
0.010945999994874,578156.3125,-654596.125,61288.35546875
0.0109470002353191,578184.3125,-654641.6875,61265.53515625
0.0109479995444417,578207.875,-654680.8125,61239.65234375
0.0109489997848868,578226.4375,-654712.1875,61209.98828125
0.010950000025332,578239.625,-654734.6875,61175.7890625
0.0109510002657771,578247.25,-654747.4375,61136.265625
0.0109519995748997,578249.375,-654749.75,61090.6171875
0.0109529998153448,578246.375,-654741.0625,61038.0234375
0.0109540000557899,578238.6875,-654721.0625,60977.66796875
0.0109550002962351,578227,-654689.6875,60908.7421875
0.0109559996053576,578212.125,-654647,60830.4609375
0.0109569998458028,578195.125,-654593.125,60742.08984375
0.0109580000862479,578177.0625,-654528.4375,60642.953125
0.0109590003266931,578159,-654453.375,60532.453125
0.0109599996358156,578142.125,-654368.5625,60410.1015625
0.0109609998762608,578127.5625,-654274.5,60275.51953125
0.0109620001167059,578116.375,-654171.875,60128.47265625
0.010963000357151,578109.5625,-654061.5,59968.8515625
0.0109639996662736,578107.9375,-653943.9375,59796.70703125
0.0109649999067187,578112.3125,-653819.9375,59612.21875
0.0109660001471639,578123.1875,-653690.125,59415.7109375
0.010967000387609,578141,-653555.125,59207.640625
0.0109679996967316,578166.0625,-653415.625,58988.56640625
0.0109689999371767,578198.4375,-653272,58759.16015625
0.0109700001776218,578238.125,-653124.875,58520.1640625
0.010971000418067,578285.0625,-652974.6875,58272.3828125
0.0109719997271895,578339.0625,-652821.875,58016.66015625
0.0109729999676347,578399.8125,-652666.875,57753.85546875
0.0109740002080798,578467.0625,-652510.0625,57484.8046875
0.010975000448525,578540.5,-652351.8125,57210.32421875
0.0109759997576475,578619.8125,-652192.5,56931.171875
0.0109769999980927,578704.625,-652032.3125,56648.03515625
0.0109780002385378,578794.6875,-651871.625,56361.53515625
0.0109789995476604,578889.75,-651710.75,56072.19140625
0.0109799997881055,578989.5,-651549.8125,55780.44921875
0.0109810000285506,579093.8125,-651389.0625,55486.6640625
0.0109820002689958,579202.5625,-651228.8125,55191.11328125
0.0109829995781183,579315.6875,-651069.25,54894.0078125
0.0109839998185635,579433,-650910.625,54595.48828125
0.0109850000590086,579554.5,-650753.0625,54295.64453125
0.0109860002994537,579680.25,-650596.875,53994.51953125
0.0109869996085763,579810.125,-650442.1875,53692.12109375
0.0109879998490214,579944.1875,-650289.125,53388.4296875
0.0109890000894666,580082.375,-650137.875,53083.41015625
0.0109900003299117,580224.5625,-649988.5625,52777.015625
0.0109909996390343,580370.625,-649841.0625,52469.203125
0.0109919998794794,580520.5625,-649695.5625,52159.921875
0.0109930001199245,580674.0625,-649551.875,51849.15234375
0.0109940003603697,580830.9375,-649410,51536.87109375
0.0109949996694922,580990.875,-649269.875,51223.078125
0.0109959999099374,581153.6875,-649131.25,50907.7890625
0.0109970001503825,581318.9375,-648994.0625,50591.03515625
0.0109980003908277,581486.375,-648858.0625,50272.84375
0.0109989996999502,581655.625,-648723,49953.265625
0.0109999999403954,581826.375,-648588.75,49632.33984375
0.0110010001808405,581998.3125,-648455.0625,49310.09765625
0.0110020004212856,582171.125,-648321.5625,48986.56640625
0.0110029997304082,582344.5,-648188.1875,48661.7421875
0.0110039999708533,582518.25,-648054.5625,48335.60546875
0.0110050002112985,582692.1875,-647920.4375,48008.12890625
0.0110060004517436,582866.3125,-647785.8125,47679.28125
0.0110069997608662,583040.6875,-647650.8125,47349.1796875
0.0110080000013113,583215.875,-647516.5,47018.25390625
0.0110090002417564,583393.0625,-647384.8125,46687.40625
0.011009999550879,583573.8125,-647258.5625,46357.796875
0.0110109997913241,583759.5,-647139.625,46029.96875
0.0110120000317693,583949.9375,-647026.0625,45702.49609375
0.0110130002722144,584142.4375,-646910.4375,45370.98828125
0.011013999581337,584331.8125,-646780.1875,45028.5546875
0.0110149998217821,584512.0625,-646621.6875,44668.19140625
0.0110160000622272,584678.3125,-646426.125,44286.1796875
0.0110170003026724,584829.25,-646194.5625,43884.81640625
0.0110179996117949,584967.5,-645938.875,43472.7578125
0.0110189998522401,585099.0625,-645678.375,43062.62109375
0.0110200000926852,585231.5625,-645433.625,42666.87109375
